to_address_question,"To address this question, we will examine how uncertainty is visualized in ecological forecasts and how forecasts are used to make decisions. We will identify different ways in which ecological forecasts are currently visualized. We will also use a water quality forecasting system to make decisions about managing a drinking water reservoir, and examine how uncertainty in forecast output can influence decision-making. Lastly, we will explore  different ways of visualizing forecast output and how they can be tailored for different users of the forecast."
workflow1,"After the instructor completes the PowerPoint presentation, students will launch the Shiny app. Students work individually or in pairs to navigate through the upper tabs (e.g., ""Activity A"", ""Activity B"", and ""Activity C"")  to complete each of the objectives embedded within each tab. Within each activity tab, there are individual objectives which must be completed before moving onto the next one."
workflow2,There are questions in green text boxes embedded throughout the Shiny app which students can input answers into.
workflow3,"When all of the objectives are completed and questions are answered, navigate to the ""Generate Report"" section in the ""Introduction"" tab. This will then create a Microsoft Word document with all of the forecasts and answers embedded within, which can be downloaded and finalized before submitting to the instructor."
workflow4,"You can save your progress by downloading the user input before you leave the page (see ""Save your progress"" on this webpage for instructions on how to do this). This will allow you to return to this Shiny app and start from where you left off."
workflow5,"You can check your progress throughout the app by navigating to ""Questions still to be completed"" within the ""Generate Report"" section in the ""Module Workflow"" tab. This will tell you if there are any questions which you have not yet answered."
activityA_Q1,What is the name of the forecasting system you chose?
activityA_Q2,What ecological variable(s) are being forecasted?
activityA_Q3,"What type of visual representation is used (e.g., word, number, icon, figure)?"
activityA_Q4,"How is uncertainty represented (e.g., shape, color, shade)?"
activityA_Q5,Is the data raw forecast output or a metric?
activityA_Q6,Name one stakeholder who could use this forecast. This can come directly from the website or can be hypothesized by you.
activityA_Q7,Classify the stakeholder identified in Q6 into a decision-use category that best fits their decision needs.
activityA_Q8,Describe how the visualization does or does not support the stakeholder's needs.
activityA_obj2_Q9,What ecological variable was forecasted in your partner's system? How are they different ecologically?
activityA_obj2_Q10,What are the major differences and similarities between the two system's visualizations?
activityA_obj2_Q11,Which visualizations represent forecast uncertainty over time? And over space?
activityA_obj2_Q12,"Which visualizations represent uncertainty as a metric of forecast output or of raw forecast output? If they used a metric, what is the metric called?"
activityA_obj2_Q13,"Of the two forecasting systems being compared, which do you think is most useful for guiding stakeholders? Why?"
activityA_obj2_Q14,Which forecast do you think best communicated uncertainty for the relevant stakeholders? Why?
activityB_scenario1,"You and your partner are drinking water managers for the primary drinking water source reservoir for your city, which has ~300,000 residents. In 14 days, a major international swimming competition with an estimated ~2,000 participants will be swimming 3.8 miles within the reservoir. It is expected that this event and its spectators will bring >$10 million dollars of valuable tourism revenue to your city. However, the water utility is concerned about the reservoir's water quality at this time of year, as historically there have been major algal blooms, which typically require expensive water treatment techniques. Without treatment, algal blooms can pose potential health issues to aquatic life, swimmers, and the city's drinking water. During the swimming competition, the water utility must continue to use the reservoir as a drinking water source, and so must balance the needs of maintaining optimal water quality for local residents, aquatic health of the reservoir, as well as ensuring the safety of the swimmers."
activityB_scenario2,"Luckily, the reservoir was recently outfitted with a state-of-the-art water quality ensemble forecasting system. Every morning, managers receive a 14-day forecast of future algal concentrations in the reservoir, which are updated daily with the actual algal concentrations, measured in real-time using sensors in the water. The forecast is ensemble-based meaning it produces 25 different forecasts of algal concentrations. Following local and national guidelines for beach closure, algal levels above 25 ug/L can be harmful for drinking without water treatment and detrimental to aquatic life, and levels above 35 ug/L are not suitable for human swimming."
activityB_scenario3,"As drinking water managers of the reservoir, you and your partner must decide how to manage the water quality in the reservoir every day over a 14-day period, using the forecasts as a guide."
activityB_obj5_Q1,What was the actual algal concentration on June 6?
activityB_obj5_Q2,What was your final decision on managing the water quality of the reservoir?
activityB_obj5_Q3,Describe how your desicision was influenced by the uncertainty visualization in Objective 4a vs. Objective 4b.
activityB_obj5_Q4,How did your decisions differ from your partner?
activityB_obj5_Q5,What was the range of uncertainty around the forecast on June 6 in the 14-day forecast? In the 2-day forecast? 
activityB_obj5_Q6,How did the range of uncertainty in the forecast on June 6 change over time? 
activityB_obj5_Q7,How did the forecast visualization influence the decisions you made?
activityB_obj5_Q8,What other information would you have liked to know in order to inform your decision?
activityB_obj5_Q9,"How do you think uncertainty representation in important societal figures (e.g., the IPCC climate change scenarios) can impact decision-making?"
activityC_obj6_Q1,Name one decision that your stakeholder could make using a water quality forecast
activityC_obj8_Q1,Why did you choose a metric or raw forecast output?
activityC_obj8_Q2,"Why did you choose a the communication type that you did (e.g., word, number, icon, or figure)?"
activityC_obj8_Q3,"If you chose a figure representation, why did you choose a the plot type that you did (e.g., pie, time series, bar graph)?"
activityC_obj8_Q4,What other improvements would you make to customize for your stakeholder?
activityC_obj8_Q5,What other groups of people could use your forecast?
activityC_obj8_Q6,Pick one of the stakeholders you identified in the above question. Is their decision-use case different from your original stakeholder?
activityC_obj8_Q7,"If you were customizing a visualization for this stakeholder, how might you alter your current visualization?"
